EmployeeId,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
212,26,No,Travel_Rarely,10,Medical,High,High,1,Sales Executive,Very High,Single,4684,No,0,5,Excellent,5,3,2
213,35,No,Travel_Frequently,1,Medical,Medium,High,0,Research Scientist,Low,Married,2194,No,1,5,Good,3,2,2
214,32,No,Travel_Rarely,5,Life Sciences,Low,Very High,0,Research Scientist,Medium,Divorced,3298,Yes,2,7,Good,6,2,5
215,35,No,Travel_Rarely,22,Life Sciences,Very High,Low,0,Laboratory Technician,High,Single,4230,No,0,6,Excellent,5,4,3
216,19,No,Travel_Rarely,25,Life Sciences,Medium,Very High,0,Research Scientist,Very High,Single,2994,Yes,0,1,Excellent,1,0,1
217,28,No,Travel_Rarely,5,Medical,Very High,High,1,Sales Executive,Low,Single,8463,No,0,6,Excellent,5,4,3
218,32,Yes,Travel_Rarely,4,Medical,Very High,Low,2,Sales Executive,Very High,Married,10400,No,0,14,Good,14,8,8
219,43,No,Travel_Frequently,1,Life Sciences,Very High,High,1,Healthcare Representative,Very High,Married,5562,No,1,12,Good,5,2,2
220,24,No,Travel_Rarely,29,Medical,Medium,High,0,Laboratory Technician,Low,Divorced,3907,No,3,6,Outstanding,6,2,2
221,37,No,Travel_Rarely,25,Medical,High,Medium,1,Healthcare Representative,Very High,Divorced,5731,No,2,9,Excellent,6,2,3
222,49,No,Travel_Rarely,22,Other,Low,High,3,Research Director,Medium,Married,16413,No,2,27,Excellent,4,2,2
223,38,No,Travel_Rarely,2,Life Sciences,Very High,High,1,Manufacturing Director,High,Married,6553,No,0,14,Excellent,1,0,0
224,30,No,Travel_Rarely,9,Human Resources,High,High,1,Human Resources,Very High,Married,6347,Yes,0,12,Low,11,9,7
225,53,No,Travel_Rarely,6,Marketing,Medium,High,1,Sales Representative,High,Married,2306,Yes,1,13,Low,7,7,5
226,42,No,Travel_Rarely,1,Life Sciences,Medium,High,1,Sales Executive,High,Married,4907,No,0,20,Excellent,20,16,6
227,30,No,Travel_Frequently,3,Medical,High,High,0,Research Scientist,High,Divorced,2083,No,1,1,Excellent,1,0,0
228,31,No,Travel_Frequently,1,Life Sciences,Very High,Low,1,Research Scientist,Low,Married,5003,No,0,10,Excellent,10,8,7
229,25,Yes,Travel_Rarely,19,Marketing,High,Medium,0,Sales Representative,Medium,Married,2413,Yes,3,1,Excellent,1,0,0
230,53,No,Travel_Rarely,2,Medical,Very High,Very High,3,Research Director,Medium,Single,16598,No,0,35,Good,9,8,8
231,40,No,Travel_Rarely,1,Life Sciences,High,High,1,Healthcare Representative,Very High,Divorced,6513,No,1,12,Excellent,5,3,3
232,32,No,Travel_Rarely,5,Life Sciences,Very High,Medium,1,Research Scientist,Medium,Married,5878,No,1,12,Excellent,7,1,5
233,29,No,Travel_Rarely,10,Marketing,Very High,High,0,Sales Representative,Medium,Divorced,2297,No,2,2,Excellent,2,2,2
234,42,Yes,Travel_Frequently,12,Life Sciences,High,High,3,Sales Executive,Low,Single,13758,Yes,0,22,Good,21,9,14
235,34,No,Travel_Frequently,16,Life Sciences,High,Medium,0,Research Scientist,Very High,Single,2553,No,0,6,Excellent,5,2,3
236,28,No,Travel_Rarely,8,Medical,Medium,Medium,0,Human Resources,Very High,Divorced,4936,No,1,6,Excellent,5,1,4
237,43,No,Travel_Rarely,16,Marketing,Very High,High,3,Manager,Very High,Married,16064,Yes,1,22,Excellent,17,13,9
238,47,No,Non-Travel,2,Marketing,High,High,1,Sales Executive,Medium,Married,4978,No,1,4,Low,1,0,0
239,37,No,Travel_Rarely,6,Medical,High,High,1,Sales Executive,Very High,Married,6502,No,1,7,Outstanding,5,4,1
240,44,No,Travel_Rarely,1,Life Sciences,Low,Medium,1,Human Resources,High,Single,5985,No,0,10,Outstanding,2,2,2
241,34,No,Non-Travel,26,Technical Degree,Low,Medium,0,Research Scientist,High,Divorced,2029,No,3,5,Excellent,5,4,0
242,34,No,Travel_Frequently,22,Other,High,Medium,1,Research Scientist,Very High,Married,5747,Yes,0,16,Excellent,15,10,11
243,47,No,Non-Travel,14,Technical Degree,High,High,1,Research Scientist,Medium,Married,5467,No,1,16,Outstanding,8,7,7
244,28,No,Travel_Rarely,9,Life Sciences,Medium,High,1,Sales Executive,Very High,Single,5253,No,0,7,Excellent,7,5,7
245,40,No,Travel_Rarely,26,Marketing,High,High,1,Sales Executive,Low,Married,8396,No,1,8,Good,7,7,5
246,34,No,Travel_Rarely,8,Life Sciences,High,High,1,Sales Executive,Low,Married,6500,No,1,6,Excellent,3,2,2
247,44,No,Travel_Rarely,4,Medical,Very High,High,1,Healthcare Representative,Medium,Single,5933,No,0,10,Good,5,2,3
248,25,No,Travel_Rarely,2,Medical,Low,Very High,0,Research Scientist,Low,Single,3424,No,0,6,Good,4,3,1
249,34,Yes,Travel_Rarely,6,Medical,Medium,High,0,Research Scientist,Low,Single,2960,No,0,8,Excellent,4,2,3
250,60,No,Travel_Rarely,7,Life Sciences,Low,High,4,Manager,Low,Married,19566,No,0,33,Low,29,8,10
251,32,No,Travel_Rarely,7,Marketing,Very High,High,1,Sales Executive,Very High,Married,9204,No,1,7,Good,4,3,3
252,28,No,Travel_Rarely,13,Marketing,Very High,High,1,Sales Executive,High,Single,9854,Yes,0,6,Excellent,2,0,2
253,36,No,Travel_Rarely,7,Other,Medium,High,0,Research Scientist,Very High,Single,4678,No,0,8,Excellent,6,2,1
254,45,No,Travel_Rarely,4,Life Sciences,High,Low,2,Human Resources,High,Married,9756,No,2,9,Outstanding,5,0,3
255,32,No,Non-Travel,29,Medical,Very High,High,0,Laboratory Technician,High,Single,4025,No,0,10,Excellent,8,7,7
256,42,No,Travel_Rarely,10,Human Resources,High,High,3,Manager,Low,Married,16799,No,1,21,Excellent,20,7,9
257,46,No,Travel_Rarely,2,Life Sciences,High,High,2,Sales Executive,Very High,Divorced,10368,Yes,1,13,Good,10,6,3
258,40,Yes,Travel_Rarely,22,Marketing,High,Medium,1,Sales Executive,High,Married,6380,Yes,2,8,Excellent,6,4,0
259,39,No,Travel_Rarely,19,Other,Very High,High,1,Research Scientist,Very High,Divorced,3902,No,3,7,Excellent,2,2,2
260,25,Yes,Travel_Rarely,5,Marketing,High,Medium,1,Sales Executive,High,Single,5744,Yes,0,6,Excellent,6,4,3
261,29,No,Travel_Rarely,10,Medical,High,Medium,1,Sales Executive,High,Single,5869,No,0,8,Excellent,5,2,4
262,24,No,Travel_Rarely,18,Life Sciences,Medium,High,0,Laboratory Technician,High,Married,2774,No,1,6,Excellent,5,3,2
263,35,No,Travel_Rarely,21,Life Sciences,Very High,High,1,Healthcare Representative,Very High,Married,4014,Yes,1,10,Low,10,6,7
264,48,No,Travel_Rarely,2,Marketing,Medium,Very High,1,Sales Executive,Medium,Married,8120,No,0,12,Excellent,2,2,2
265,50,No,Travel_Rarely,1,Medical,Very High,High,3,Research Director,Very High,Divorced,17399,No,1,32,Good,5,4,3
266,54,No,Travel_Rarely,3,Life Sciences,Very High,High,3,Research Director,Very High,Married,17779,No,0,36,Excellent,10,9,9
267,30,No,Travel_Rarely,2,Technical Degree,High,High,0,Sales Representative,Medium,Married,2476,No,1,1,Excellent,1,0,0
268,31,Yes,Travel_Rarely,20,Life Sciences,Medium,Low,1,Sales Executive,High,Married,4559,Yes,1,4,Excellent,2,2,2
269,39,Yes,Travel_Rarely,3,Medical,Very High,High,1,Sales Executive,High,Married,5238,Yes,0,12,Good,1,0,0
270,51,Yes,Travel_Frequently,8,Life Sciences,Low,Low,2,Manufacturing Director,Very High,Single,10650,No,0,18,Excellent,4,2,3
271,44,No,Non-Travel,5,Life Sciences,High,Medium,0,Laboratory Technician,High,Single,3162,No,0,7,Excellent,5,2,3
272,50,No,Travel_Rarely,7,Medical,Medium,Medium,4,Research Director,High,Divorced,18740,Yes,1,29,Good,27,3,8
273,23,No,Travel_Rarely,20,Life Sciences,Low,High,1,Laboratory Technician,High,Single,2272,No,0,5,Excellent,4,3,2
274,32,No,Travel_Rarely,1,Life Sciences,Medium,High,1,Research Scientist,Medium,Married,6220,No,2,10,Excellent,10,4,9
275,44,No,Travel_Rarely,4,Life Sciences,High,Very High,4,Manager,Low,Divorced,19190,No,2,26,Good,25,9,13
276,40,No,Travel_Rarely,2,Life Sciences,High,Medium,0,Research Scientist,High,Single,2809,No,0,8,Excellent,2,2,2
277,53,No,Travel_Rarely,2,Life Sciences,Low,Medium,3,Manager,Very High,Married,15427,No,0,31,Excellent,25,8,7
278,55,No,Travel_Rarely,2,Technical Degree,Medium,Medium,0,Research Scientist,Very High,Married,2662,No,1,19,Outstanding,5,2,4
279,55,No,Travel_Rarely,18,Life Sciences,Low,High,3,Manager,Medium,Single,16835,No,0,37,Excellent,10,9,7
280,38,No,Non-Travel,10,Technical Degree,High,High,1,Sales Executive,Very High,Single,5666,Yes,0,6,Excellent,5,3,3
281,34,Yes,Travel_Rarely,9,Technical Degree,Low,High,0,Human Resources,High,Married,2742,No,0,2,Excellent,2,2,2
282,36,No,Travel_Rarely,12,Medical,Very High,Medium,2,Manufacturing Director,Very High,Single,8858,No,0,15,Good,14,8,8
283,57,No,Travel_Rarely,24,Life Sciences,High,Very High,2,Healthcare Representative,Very High,Divorced,9439,Yes,1,12,Low,5,3,4
284,32,No,Travel_Frequently,10,Marketing,Very High,High,1,Sales Executive,Very High,Single,4648,No,0,4,Outstanding,0,0,0
285,36,No,Travel_Rarely,4,Life Sciences,Low,Medium,1,Laboratory Technician,Very High,Single,5810,No,0,10,Good,10,4,8
286,28,Yes,Travel_Rarely,2,Life Sciences,Low,High,0,Laboratory Technician,High,Single,3485,No,0,5,Low,0,0,0
287,35,No,Travel_Rarely,25,Other,Low,Medium,1,Laboratory Technician,Very High,Single,3681,No,0,9,Excellent,3,2,2
288,27,No,Travel_Frequently,3,Medical,Very High,Very High,1,Sales Executive,Very High,Divorced,4647,Yes,2,6,Excellent,6,5,4
289,31,No,Travel_Rarely,18,Human Resources,Very High,Very High,0,Human Resources,Low,Married,2956,No,0,2,Excellent,1,0,0
290,37,Yes,Travel_Rarely,6,Human Resources,High,High,0,Human Resources,Low,Divorced,2073,Yes,0,7,Excellent,3,2,2
291,46,No,Travel_Rarely,13,Life Sciences,High,High,1,Healthcare Representative,Medium,Single,5562,No,0,19,Excellent,10,7,9
292,50,Yes,Travel_Rarely,3,Marketing,Low,Medium,0,Sales Representative,High,Married,2683,Yes,0,3,Excellent,3,2,2
293,45,No,Non-Travel,2,Medical,Low,Medium,3,Manager,Very High,Married,16792,No,1,22,Excellent,20,8,8
294,27,No,Travel_Frequently,8,Marketing,High,High,1,Sales Executive,Very High,Married,4342,No,1,5,Excellent,4,2,1
295,41,No,Travel_Rarely,2,Life Sciences,Medium,High,3,Manager,Low,Married,16595,No,1,22,Excellent,18,16,8
296,30,No,Non-Travel,2,Medical,High,High,0,Laboratory Technician,Very High,Single,2564,No,0,12,Good,11,7,7
297,32,No,Non-Travel,2,Life Sciences,High,High,0,Sales Representative,Low,Divorced,2827,No,3,1,Excellent,1,0,0
298,55,No,Travel_Rarely,14,Medical,High,Very High,4,Research Director,Medium,Single,18722,No,0,36,Excellent,24,15,15
299,32,Yes,Travel_Rarely,7,Life Sciences,Very High,High,1,Laboratory Technician,High,Married,4883,No,1,10,Excellent,10,4,1
300,54,No,Travel_Frequently,1,Life Sciences,Very High,High,2,Manufacturing Director,High,Divorced,10502,No,1,33,Low,5,4,4
301,44,Yes,Travel_Rarely,10,Life Sciences,High,High,0,Research Scientist,High,Single,2936,Yes,0,6,Excellent,6,4,2
302,32,No,Travel_Rarely,9,Life Sciences,Low,High,1,Research Scientist,Very High,Married,6322,Yes,1,6,Good,6,4,5
303,25,No,Travel_Rarely,8,Other,Low,High,1,Sales Executive,High,Divorced,4907,Yes,1,6,Good,5,3,4
304,33,No,Non-Travel,8,Life Sciences,Medium,Medium,0,Sales Representative,Very High,Single,2342,No,0,3,Good,2,2,2
305,28,No,Travel_Rarely,17,Technical Degree,High,Medium,0,Laboratory Technician,Very High,Divorced,2367,No,1,6,Good,4,1,3
306,27,No,Non-Travel,9,Medical,Very High,High,0,Research Scientist,Medium,Divorced,2024,No,1,6,Low,2,2,2
307,33,No,Travel_Rarely,1,Other,High,Medium,0,Research Scientist,Low,Single,2799,Yes,0,6,Excellent,3,2,2
308,47,Yes,Non-Travel,29,Life Sciences,Low,High,2,Manager,Medium,Married,11849,Yes,1,10,Good,10,7,9
309,19,Yes,Non-Travel,10,Medical,Low,Medium,0,Research Scientist,Medium,Single,1859,Yes,0,1,Outstanding,1,1,0
310,37,No,Non-Travel,2,Life Sciences,High,Medium,1,Healthcare Representative,Very High,Divorced,5163,No,1,17,Outstanding,1,0,0
311,56,No,Travel_Rarely,23,Life Sciences,Very High,High,3,Manufacturing Director,Medium,Married,13402,Yes,1,33,Excellent,19,16,9
312,28,No,Travel_Rarely,1,Medical,High,High,0,Research Scientist,Low,Married,3591,No,1,3,Excellent,3,2,2
313,34,No,Travel_Rarely,19,Life Sciences,Medium,Medium,0,Research Scientist,Very High,Married,2929,No,0,10,Excellent,10,9,7
314,37,No,Travel_Rarely,9,Marketing,Medium,Medium,1,Sales Executive,Medium,Married,4189,No,2,5,Excellent,5,2,3
315,29,No,Travel_Rarely,15,Life Sciences,Very High,Medium,1,Laboratory Technician,High,Single,4193,Yes,0,10,Excellent,9,5,8
316,38,No,Travel_Rarely,25,Life Sciences,Low,Medium,2,Research Director,Medium,Married,12061,No,1,19,Excellent,10,8,1
317,42,No,Travel_Rarely,2,Other,Low,Medium,1,Healthcare Representative,Very High,Single,6781,No,0,14,Excellent,1,0,0
318,39,No,Travel_Rarely,9,Medical,Low,High,1,Manufacturing Director,Low,Married,5151,No,1,10,Excellent,10,0,9
319,36,No,Travel_Rarely,5,Life Sciences,Medium,High,2,Healthcare Representative,Low,Married,8008,No,2,9,Excellent,3,2,2
320,54,No,Travel_Rarely,17,Technical Degree,High,High,2,Manufacturing Director,High,Married,10739,No,1,22,Excellent,10,7,8
321,29,No,Travel_Rarely,2,Life Sciences,High,High,0,Research Scientist,Medium,Married,2703,No,1,6,Excellent,5,4,4
322,26,No,Travel_Frequently,1,Medical,High,Medium,1,Sales Executive,Low,Single,4294,No,0,7,Excellent,7,7,7
323,37,No,Non-Travel,19,Medical,Low,High,2,Sales Executive,Medium,Single,7642,Yes,0,10,Excellent,10,0,9
324,26,No,Travel_Rarely,5,Other,Very High,Medium,0,Sales Representative,High,Single,2966,No,0,5,Excellent,4,2,0
325,31,No,Travel_Rarely,7,Life Sciences,Very High,High,1,Laboratory Technician,Very High,Divorced,5915,No,1,10,Good,7,7,7
326,41,No,Travel_Rarely,5,Life Sciences,Medium,Very High,1,Healthcare Representative,Medium,Single,6870,No,0,11,Low,3,2,2
327,45,Yes,Travel_Frequently,26,Life Sciences,Low,High,1,Sales Executive,Low,Married,4286,No,2,5,Excellent,1,1,0
328,43,No,Travel_Rarely,14,Life Sciences,Medium,High,3,Research Director,Low,Married,17159,No,1,22,Excellent,4,1,0
329,29,No,Travel_Rarely,3,Medical,Medium,Medium,2,Research Director,High,Married,11935,No,0,10,Excellent,10,2,7
330,30,No,Travel_Rarely,8,Other,High,High,2,Sales Executive,High,Divorced,7264,No,1,10,Outstanding,8,4,7
331,40,No,Travel_Frequently,1,Life Sciences,High,Medium,3,Healthcare Representative,Medium,Married,13503,No,1,22,Good,22,3,11
332,30,No,Travel_Rarely,10,Medical,Low,High,2,Manufacturing Director,High,Single,9667,No,0,9,Excellent,7,7,2
333,34,No,Travel_Rarely,8,Medical,Medium,Very High,1,Laboratory Technician,High,Married,4404,No,0,6,Outstanding,4,3,2
334,56,No,Travel_Frequently,6,Life Sciences,High,Very High,3,Sales Executive,Low,Married,13212,No,3,36,Good,7,7,7
335,25,No,Travel_Rarely,18,Life Sciences,Low,Very High,1,Sales Executive,High,Married,6232,No,0,6,Good,3,2,2
336,42,No,Non-Travel,2,Medical,Very High,Very High,1,Human Resources,Low,Married,6272,No,1,10,Outstanding,4,3,3
337,32,No,Travel_Frequently,8,Marketing,Medium,High,2,Sales Executive,Very High,Single,8998,No,0,9,Excellent,9,8,7
338,32,No,Travel_Frequently,24,Life Sciences,Low,High,1,Laboratory Technician,Very High,Married,5309,No,2,10,Excellent,10,8,7
339,55,No,Travel_Rarely,20,Technical Degree,Medium,High,1,Laboratory Technician,Very High,Married,5415,Yes,1,12,Excellent,10,7,8
340,39,No,Travel_Rarely,10,Medical,Medium,High,1,Manufacturing Director,Low,Married,5377,No,3,10,Excellent,7,7,7
341,44,No,Travel_Frequently,2,Medical,Medium,High,2,Manufacturing Director,High,Single,10209,Yes,0,16,Good,2,2,2
342,41,No,Non-Travel,4,Human Resources,High,Low,1,Human Resources,Medium,Married,6430,No,1,10,Excellent,3,2,2
343,27,No,Non-Travel,8,Life Sciences,Low,Low,0,Laboratory Technician,High,Married,4621,No,3,3,Excellent,3,2,2
344,38,No,Travel_Frequently,3,Other,High,High,0,Research Scientist,High,Married,2821,No,1,8,Excellent,2,2,2
345,37,No,Travel_Frequently,21,Medical,High,High,0,Sales Representative,Very High,Married,2973,No,1,10,Excellent,5,4,0
346,36,No,Travel_Frequently,2,Human Resources,Medium,Medium,1,Human Resources,Very High,Single,3886,No,0,10,Good,10,1,8
347,26,No,Travel_Frequently,11,Medical,Low,High,1,Healthcare Representative,Low,Married,4741,Yes,1,5,Excellent,5,3,3
348,37,No,Travel_Rarely,19,Life Sciences,High,High,1,Manufacturing Director,High,Married,5768,No,3,9,Good,4,3,2
349,45,No,Travel_Rarely,1,Other,High,Very High,4,Manager,Very High,Married,19202,No,1,25,Excellent,24,0,7
350,26,No,Travel_Rarely,23,Marketing,High,Medium,1,Sales Executive,Very High,Married,4157,Yes,1,5,Good,2,2,0
351,41,No,Travel_Rarely,9,Life Sciences,High,High,2,Sales Executive,High,Divorced,8189,Yes,1,12,Excellent,9,7,7
352,19,No,Travel_Rarely,9,Life Sciences,High,High,0,Research Scientist,Low,Single,2552,No,0,1,Excellent,1,1,0
353,40,No,Travel_Rarely,4,Marketing,High,Medium,2,Sales Executive,Very High,Married,10855,No,1,15,Good,12,11,11
354,26,No,Travel_Frequently,6,Other,High,Very High,0,Laboratory Technician,Very High,Married,2544,No,1,8,Excellent,7,7,7
355,43,No,Travel_Frequently,10,Life Sciences,High,Medium,1,Laboratory Technician,High,Divorced,5257,No,1,9,Outstanding,9,7,0
356,35,No,Non-Travel,3,Life Sciences,High,Medium,0,Laboratory Technician,High,Married,1281,No,2,1,Excellent,1,0,0
357,52,No,Travel_Rarely,3,Marketing,High,Medium,3,Manager,Low,Married,16856,No,0,34,Outstanding,34,6,16
358,49,No,Travel_Rarely,20,Medical,High,High,1,Manufacturing Director,Low,Married,6567,No,0,16,Good,15,11,11
359,37,No,Non-Travel,5,Technical Degree,High,Very High,0,Laboratory Technician,High,Single,3500,No,0,7,Low,6,5,3
360,43,No,Travel_Frequently,21,Medical,Very High,High,0,Laboratory Technician,Very High,Married,2258,No,1,8,Excellent,3,2,2
361,22,No,Travel_Rarely,1,Life Sciences,Very High,High,0,Research Scientist,High,Single,3375,No,0,4,Outstanding,3,2,2
362,23,No,Travel_Rarely,2,Technical Degree,High,High,0,Sales Representative,Low,Divorced,2322,No,1,3,Excellent,0,0,0
363,55,No,Travel_Rarely,8,Medical,Very High,High,3,Manager,High,Divorced,14756,Yes,3,21,Excellent,5,0,2
364,53,No,Travel_Rarely,23,Life Sciences,Very High,High,3,Research Director,Very High,Single,14275,No,0,33,Excellent,12,9,8
365,34,No,Travel_Frequently,1,Medical,Very High,Medium,1,Healthcare Representative,Low,Single,5343,No,0,14,Excellent,13,9,9
366,58,Yes,Travel_Rarely,2,Technical Degree,Very High,High,0,Research Scientist,High,Single,2479,No,0,7,Excellent,1,0,0
367,34,No,Travel_Frequently,3,Life Sciences,Low,High,1,Healthcare Representative,Very High,Single,7756,No,0,7,Good,6,2,4
368,30,No,Non-Travel,1,Life Sciences,High,Medium,2,Manufacturing Director,High,Single,8474,No,0,12,Excellent,11,8,8
369,32,No,Travel_Rarely,6,Life Sciences,High,High,0,Research Scientist,High,Single,3038,No,0,8,Excellent,5,4,4
370,36,No,Travel_Rarely,5,Life Sciences,Very High,High,1,Laboratory Technician,Medium,Single,5914,No,0,16,Outstanding,13,11,7
371,42,No,Travel_Rarely,8,Life Sciences,Very High,High,0,Laboratory Technician,High,Single,3968,No,0,8,Excellent,0,0,0
372,47,No,Non-Travel,1,Medical,High,High,2,Research Director,Medium,Married,11957,No,2,14,Low,13,8,12
373,40,No,Travel_Frequently,2,Medical,Medium,High,1,Sales Executive,Medium,Married,4327,No,3,5,Excellent,0,0,0
374,36,No,Non-Travel,24,Life Sciences,Medium,High,1,Laboratory Technician,Medium,Married,5674,No,1,11,Excellent,9,8,8
375,21,No,Travel_Rarely,15,Life Sciences,High,High,0,Research Scientist,Very High,Single,1232,No,0,0,Excellent,0,0,0
376,36,No,Non-Travel,15,Marketing,Very High,Low,1,Sales Executive,Very High,Divorced,5406,No,1,15,Good,15,12,11
377,34,No,Travel_Rarely,14,Technical Degree,High,High,0,Sales Representative,High,Divorced,2579,Yes,2,8,Excellent,8,2,6
378,42,No,Travel_Rarely,18,Life Sciences,Very High,High,1,Research Scientist,Low,Divorced,5410,Yes,1,9,Good,4,3,2
379,34,No,Travel_Rarely,6,Other,Low,High,1,Research Scientist,High,Single,4809,No,0,16,Excellent,16,13,10
380,60,No,Travel_Rarely,1,Medical,High,Low,2,Healthcare Representative,Very High,Divorced,10883,No,1,19,Outstanding,1,0,0
381,39,No,Travel_Rarely,2,Life Sciences,Very High,Medium,1,Human Resources,Very High,Married,5204,No,2,13,Excellent,5,4,4
382,45,No,Travel_Rarely,8,Other,Very High,High,1,Research Scientist,Very High,Married,3697,No,2,12,Excellent,10,9,8
383,26,No,Non-Travel,7,Medical,Very High,High,0,Laboratory Technician,Very High,Single,2570,No,0,7,Excellent,7,7,7
384,56,No,Travel_Rarely,11,Marketing,Very High,Medium,1,Sales Executive,Low,Married,5380,No,1,6,Excellent,0,0,0
385,31,Yes,Travel_Frequently,29,Medical,High,Medium,0,Laboratory Technician,Medium,Single,3479,No,0,6,Outstanding,5,4,4
386,38,No,Travel_Rarely,3,Life Sciences,Medium,High,1,Sales Executive,Very High,Single,6861,Yes,0,19,Excellent,1,0,0
387,35,No,Travel_Rarely,28,Life Sciences,Medium,Very High,1,Laboratory Technician,High,Married,3407,No,2,10,Good,10,9,8
388,31,No,Travel_Frequently,3,Medical,Medium,High,2,Research Director,High,Divorced,13675,No,1,9,Excellent,2,2,2
389,26,No,Travel_Rarely,6,Life Sciences,High,High,0,Laboratory Technician,Very High,Married,2659,Yes,1,3,Excellent,3,2,2
390,38,No,Travel_Rarely,2,Marketing,Medium,Low,1,Sales Representative,Very High,Married,5405,Yes,2,20,Good,4,2,3
391,30,No,Travel_Rarely,6,Technical Degree,Low,Medium,1,Laboratory Technician,Very High,Married,4627,No,1,10,Excellent,9,2,7
392,41,No,Travel_Rarely,4,Marketing,High,High,2,Sales Executive,High,Divorced,10447,Yes,1,23,Outstanding,22,14,5
393,34,No,Travel_Rarely,9,Life Sciences,Very High,High,2,Healthcare Representative,Very High,Divorced,8500,No,1,10,Good,9,7,6
394,35,No,Travel_Rarely,6,Life Sciences,High,High,0,Research Scientist,High,Married,3506,Yes,0,4,Excellent,3,2,2
395,27,No,Travel_Rarely,2,Life Sciences,Very High,High,0,Laboratory Technician,Low,Divorced,2341,No,1,1,Excellent,1,0,0
396,39,No,Travel_Rarely,24,Marketing,Medium,Medium,3,Sales Executive,Very High,Married,12031,No,1,21,Good,20,9,6
397,56,No,Travel_Rarely,24,Life Sciences,Low,High,0,Laboratory Technician,Very High,Single,2587,No,0,5,Excellent,4,2,0
398,32,No,Travel_Rarely,5,Life Sciences,Very High,Medium,1,Manufacturing Director,Very High,Single,9679,No,0,8,Excellent,1,0,0
399,31,No,Travel_Rarely,5,Technical Degree,High,High,0,Research Scientist,Very High,Married,4821,Yes,1,6,Excellent,5,2,3
400,39,No,Travel_Frequently,8,Life Sciences,High,High,0,Laboratory Technician,High,Married,3755,No,1,8,Excellent,8,3,7
401,29,No,Travel_Rarely,23,Life Sciences,High,Very High,0,Research Scientist,High,Married,2700,No,1,10,Excellent,10,7,7
402,33,No,Non-Travel,4,Technical Degree,Very High,High,1,Research Scientist,Medium,Divorced,3055,No,2,11,Good,9,8,7
403,29,Yes,Travel_Rarely,27,Marketing,Medium,High,2,Sales Executive,Very High,Married,7639,No,3,10,Good,10,4,9
404,44,Yes,Travel_Rarely,3,Life Sciences,Low,High,0,Laboratory Technician,Low,Married,2362,No,0,10,Outstanding,3,2,2
405,26,No,Travel_Rarely,6,Other,High,Medium,0,Research Scientist,Medium,Married,2368,No,0,5,Good,5,4,3
406,48,No,Travel_Rarely,2,Marketing,Medium,High,1,Sales Executive,Very High,Married,4051,No,1,14,Excellent,9,7,7
407,38,No,Travel_Rarely,3,Technical Degree,Very High,High,1,Research Scientist,High,Single,4317,Yes,0,19,Excellent,3,2,2
408,36,No,Travel_Rarely,17,Marketing,High,Medium,1,Sales Executive,Medium,Married,5507,No,2,12,Low,4,2,3
409,23,Yes,Travel_Rarely,6,Life Sciences,High,Very High,0,Laboratory Technician,Low,Married,1601,Yes,2,1,Excellent,0,0,0
410,29,No,Travel_Rarely,13,Other,Very High,Medium,1,Laboratory Technician,Medium,Married,4025,Yes,1,10,Excellent,4,3,3
411,50,No,Travel_Rarely,24,Life Sciences,Very High,High,3,Manufacturing Director,High,Married,13973,Yes,1,22,Excellent,12,11,5
412,37,No,Travel_Rarely,3,Life Sciences,High,High,2,Sales Executive,Very High,Single,7428,No,0,12,Excellent,5,3,3
413,24,No,Travel_Rarely,1,Life Sciences,Medium,Medium,1,Healthcare Representative,High,Single,4617,No,0,4,Good,4,3,2
414,31,No,Travel_Rarely,8,Medical,Very High,Very High,0,Human Resources,Medium,Single,2109,No,0,8,Excellent,3,2,2
415,49,Yes,Travel_Rarely,11,Marketing,High,High,2,Sales Executive,Very High,Married,7654,No,2,9,Outstanding,9,8,7
416,34,No,Travel_Frequently,19,Medical,High,High,1,Laboratory Technician,Medium,Divorced,4444,No,2,15,Outstanding,11,8,10
417,41,Yes,Travel_Rarely,1,Life Sciences,Medium,High,1,Sales Executive,Very High,Single,5993,Yes,0,8,Low,6,4,5
418,34,No,Travel_Rarely,8,Medical,Medium,High,1,Healthcare Representative,High,Single,6142,No,0,10,Excellent,5,1,3
419,39,No,Travel_Frequently,2,Technical Degree,High,High,2,Healthcare Representative,High,Single,10938,No,0,20,Excellent,19,6,8
420,32,Yes,Travel_Frequently,16,Life Sciences,Medium,Low,0,Research Scientist,Low,Single,3919,Yes,0,10,Excellent,10,2,7
421,37,No,Travel_Frequently,9,Medical,Medium,High,0,Research Scientist,Very High,Married,2326,Yes,3,4,Good,4,2,2
422,30,Yes,Travel_Rarely,22,Life Sciences,Low,High,0,Research Scientist,High,Married,2132,Yes,0,7,Excellent,5,2,1
423,47,No,Travel_Rarely,4,Life Sciences,High,Medium,2,Manufacturing Director,Medium,Divorced,10333,Yes,1,28,Excellent,22,11,10
424,55,No,Travel_Rarely,1,Medical,Very High,High,4,Manager,Low,Single,19045,Yes,0,37,Excellent,36,10,13
425,37,No,Travel_Rarely,10,Life Sciences,Very High,Very High,0,Research Scientist,Very High,Single,4680,No,0,4,Excellent,1,0,0
